"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Check expected total cost with actual total cost","Daily Finance Automation","Sat Oct 19 21:13:43 BDT 2024","passed","Sat Oct 19 21:13:43 BDT 2024","testrunner.AddCostTestRunner","Add a cost from csv file and check total cost","testrunner.AddCostTestRunner","totalcost"
"","10192","User can register by providing all info","Daily Finance Automation","Sat Oct 19 21:12:22 BDT 2024","passed","Sat Oct 19 21:12:32 BDT 2024","testrunner.RegistrationTestRunner","User Registration","testrunner.RegistrationTestRunner","userRegByallFields"
"","4829","Added cost from csv file","Daily Finance Automation","Sat Oct 19 21:13:33 BDT 2024","passed","Sat Oct 19 21:13:38 BDT 2024","testrunner.AddCostTestRunner","Add a cost from csv file and check total cost","testrunner.AddCostTestRunner","addCost"
"","4860","update user profile image","Daily Finance Automation","Sat Oct 19 21:13:11 BDT 2024","passed","Sat Oct 19 21:13:16 BDT 2024","testrunner.UpdateProfileImgTestRunner","Update user profile image","testrunner.UpdateProfileImgTestRunner","updateImg"
"","491","search an item and assert the item's price","Daily Finance Automation","Sat Oct 19 21:13:46 BDT 2024","passed","Sat Oct 19 21:13:47 BDT 2024","testrunner.SearchItemTestRunner","Search an item","testrunner.SearchItemTestRunner","searchItem"
"","619","Check last register user and dashboard first row user is same","Daily Finance Automation","Sat Oct 19 21:13:07 BDT 2024","passed","Sat Oct 19 21:13:08 BDT 2024","testrunner.AdminDashboardTestRunner","Check last user and dashboard user","testrunner.AdminDashboardTestRunner","checkUser"
"","4694","Added cost from csv file","Daily Finance Automation","Sat Oct 19 21:13:24 BDT 2024","passed","Sat Oct 19 21:13:29 BDT 2024","testrunner.AddCostTestRunner","Add a cost from csv file and check total cost","testrunner.AddCostTestRunner","addCost"
"","628","admin login with correct creds","Daily Finance Automation","Sat Oct 19 21:12:19 BDT 2024","passed","Sat Oct 19 21:12:19 BDT 2024","testrunner.LoginTestRunner","User Login","testrunner.LoginTestRunner","adminLogin"
"","5283","Added cost from csv file","Daily Finance Automation","Sat Oct 19 21:13:19 BDT 2024","passed","Sat Oct 19 21:13:24 BDT 2024","testrunner.AddCostTestRunner","Add a cost from csv file and check total cost","testrunner.AddCostTestRunner","addCost"
"","9320","User can register by providing only mandatory info","Daily Finance Automation","Sat Oct 19 21:12:32 BDT 2024","passed","Sat Oct 19 21:12:42 BDT 2024","testrunner.RegistrationTestRunner","User Registration","testrunner.RegistrationTestRunner","userRegByMandatoryFields"
"","1406","User trying to register without at least one field","Daily Finance Automation","Sat Oct 19 21:12:42 BDT 2024","passed","Sat Oct 19 21:12:43 BDT 2024","testrunner.RegistrationTestRunner","User Registration","testrunner.RegistrationTestRunner","userRegWithoutMandatoryFields"
"","4815","Added cost from csv file","Daily Finance Automation","Sat Oct 19 21:13:29 BDT 2024","passed","Sat Oct 19 21:13:33 BDT 2024","testrunner.AddCostTestRunner","Add a cost from csv file and check total cost","testrunner.AddCostTestRunner","addCost"
"","5015","Added cost from csv file","Daily Finance Automation","Sat Oct 19 21:13:38 BDT 2024","passed","Sat Oct 19 21:13:43 BDT 2024","testrunner.AddCostTestRunner","Add a cost from csv file and check total cost","testrunner.AddCostTestRunner","addCost"
